CIS421010000001PROJECT 10100084
CIS421011112333PROJECT 10100093
CIS421011234567PROJECT 10100100
CIS421012345678PROJECT 10100022
CIS421010010001PROJECT 11100055
CIS567010012345C.P. 1    100000
CIS567010123456C.P. 1    100050
CIS567010012345C.P. 2    075030
CIS567010123456C.P. 2    075068
CIS567011123456C.P. 3    075065
MAT432010000001GEOMETRY  100099
MAT432010123456GEOMETRY  100045
MAT432011234567GEOMETRY  100020
MAT432010000001ALGEBRA   100099
MAT432011234567REG EX    100020
SCI123010010001PHYSICS   100010
SCI123011112333PHYSICS   100100
SCI123012345678PHYSICS   100025
SCI123011112333CHEMISTRY 100100
SCI123010010001CHEMISTRY 100000
